Name	Distance	Spectral_Type	Apparent_Magnitude
Sol	0.0000048	G	-26.74
Sirius	2.63	A	-1.43
Canopus	95.9	F	-0.72
Arcturus	11.3	K	-0.04
AlphaCentauri	1.34	G	-0.01
Vega	7.76	A	0.03
Capella	12.9	G	0.08
Rigel	237	B	0.12
Procyon	3.5	F	0.34
Achernar	44.1	B	0.5
Betelgeuse	131	M	0.58
Hadar	161	B	0.6
Altair	51.4	A	0.77
Aldebaran	20	K	0.85
Spica	80.4	B	1.04
Antares	185	M	1.09
Pollux	10.3	K	1.15
Fomalhaut	7.69	A	1.16
Deneb	990	A	1.25
Mimosa	108	B	1.297
Regulus	23.8	B	1.35
