x-axis,1
second,Volt
-37.81250E+00,
-37.77344E+00,
-37.73438E+00,
-37.69531E+00,
-37.65625E+00,
-37.61719E+00,
-37.57813E+00,
-37.53906E+00,
-37.50000E+00,
-37.46094E+00,
-37.42188E+00,
-37.38281E+00,
-37.34375E+00,
-37.30469E+00,
-37.26563E+00,
-37.22656E+00,
-37.18750E+00,
-37.14844E+00,
-37.10938E+00,
-37.07031E+00,
-37.03125E+00,
-36.99219E+00,
-36.95313E+00,
-36.91406E+00,
-36.87500E+00,
-36.83594E+00,
-36.79688E+00,
-36.75781E+00,
-36.71875E+00,
-36.67969E+00,
-36.64063E+00,
-36.60156E+00,
-36.56250E+00,
-36.52344E+00,
-36.48438E+00,
-36.44531E+00,
-36.40625E+00,
-36.36719E+00,
-36.32813E+00,
-36.28906E+00,
-36.25000E+00,
-36.21094E+00,
-36.17188E+00,
-36.13281E+00,
-36.09375E+00,
-36.05469E+00,
-36.01563E+00,
-35.97656E+00,
-35.93750E+00,
-35.89844E+00,
-35.85938E+00,
-35.82031E+00,
-35.78125E+00,
-35.74219E+00,
-35.70313E+00,
-35.66406E+00,
-35.62500E+00,
-35.58594E+00,
-35.54688E+00,
-35.50781E+00,
-35.46875E+00,
-35.42969E+00,
-35.39063E+00,
-35.35156E+00,
-35.31250E+00,
-35.27344E+00,
-35.23438E+00,
-35.19531E+00,
-35.15625E+00,
-35.11719E+00,
-35.07813E+00,
-35.03906E+00,
-35.00000E+00,
-34.96094E+00,
-34.92188E+00,
-34.88281E+00,
-34.84375E+00,
-34.80469E+00,
-34.76563E+00,
-34.72656E+00,
-34.68750E+00,
-34.64844E+00,
-34.60938E+00,
-34.57031E+00,
-34.53125E+00,
-34.49219E+00,
-34.45313E+00,
-34.41406E+00,
-34.37500E+00,
-34.33594E+00,
-34.29688E+00,
-34.25781E+00,
-34.21875E+00,
-34.17969E+00,
-34.14063E+00,
-34.10156E+00,
-34.06250E+00,
-34.02344E+00,
-33.98438E+00,
-33.94531E+00,
-33.90625E+00,
-33.86719E+00,
-33.82813E+00,
-33.78906E+00,
-33.75000E+00,
-33.71094E+00,
-33.67188E+00,
-33.63281E+00,
-33.59375E+00,
-33.55469E+00,
-33.51563E+00,
-33.47656E+00,
-33.43750E+00,
-33.39844E+00,
-33.35938E+00,
-33.32031E+00,
-33.28125E+00,
-33.24219E+00,
-33.20313E+00,
-33.16406E+00,
-33.12500E+00,
-33.08594E+00,
-33.04688E+00,
-33.00781E+00,
-32.96875E+00,
-32.92969E+00,
-32.89063E+00,
-32.85156E+00,
-32.81250E+00,
-32.77344E+00,
-32.73438E+00,
-32.69531E+00,
-32.65625E+00,
-32.61719E+00,
-32.57813E+00,
-32.53906E+00,
-32.50000E+00,
-32.46094E+00,
-32.42188E+00,
-32.38281E+00,
